,precision,recall,f1-score,support
pinus_bungeana,0.3333333333333333,0.8,0.47058823529411764,5.0
pinus_cembra,0.5714285714285714,0.6666666666666666,0.6153846153846153,6.0
pinus_densiflora,0.75,0.75,0.75,4.0
pinus_echinata,0.75,0.75,0.75,4.0
pinus_flexilis,0.5555555555555556,1.0,0.7142857142857143,5.0
pinus_koraiensis,0.0,0.0,0.0,5.0
pinus_nigra,0.4,0.5,0.4444444444444445,4.0
pinus_parviflora,0.6666666666666666,0.4,0.5,5.0
pinus_peucea,0.6,0.75,0.6666666666666665,4.0
pinus_pungens,0.42857142857142855,0.75,0.5454545454545454,4.0
pinus_resinosa,1.0,0.4,0.5714285714285715,5.0
pinus_rigida,1.0,0.5,0.6666666666666666,4.0
pinus_strobus,0.5,0.5,0.5,2.0
pinus_sylvestris,1.0,1.0,1.0,3.0
pinus_taeda,0.5714285714285714,1.0,0.7272727272727273,4.0
pinus_thunbergii,0.0,0.0,0.0,1.0
pinus_virginiana,0.0,0.0,0.0,5.0
pinus_wallichiana,1.0,0.5,0.6666666666666666,4.0
platanus_acerifolia,0.5,0.5,0.5,2.0
platanus_occidentalis,0.25,0.5,0.3333333333333333,2.0
populus_deltoides,0.8,0.8,0.8000000000000002,5.0
populus_grandidentata,0.5,0.5,0.5,4.0
populus_tremuloides,0.5,0.5,0.5,4.0
prunus_pensylvanica,1.0,0.6666666666666666,0.8,3.0
prunus_sargentii,0.3,0.17647058823529413,0.22222222222222224,17.0
prunus_serotina,0.25,0.5,0.3333333333333333,2.0
prunus_serrulata,0.3333333333333333,1.0,0.5,1.0
prunus_subhirtella,0.0,0.0,0.0,5.0
prunus_virginiana,0.26666666666666666,0.2222222222222222,0.2424242424242424,18.0
prunus_yedoensis,0.0,0.0,0.0,2.0
pseudolarix_amabilis,1.0,1.0,1.0,4.0
ptelea_trifoliata,1.0,0.6,0.7499999999999999,5.0
pyrus_calleryana,0.5714285714285714,0.8,0.6666666666666666,5.0
quercus_acutissima,1.0,1.0,1.0,5.0
quercus_alba,0.0,0.0,0.0,1.0
quercus_bicolor,0.0,0.0,0.0,2.0
quercus_cerris,0.0,0.0,0.0,2.0
quercus_coccinea,1.0,1.0,1.0,2.0
quercus_falcata,0.8,0.8,0.8000000000000002,5.0
quercus_imbricaria,0.0,0.0,0.0,3.0
quercus_macrocarpa,1.0,0.5,0.6666666666666666,4.0
quercus_marilandica,0.75,1.0,0.8571428571428571,6.0
quercus_michauxii,0.75,0.6,0.6666666666666665,5.0
quercus_montana,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
quercus_muehlenbergii,0.34782608695652173,0.7272727272727273,0.4705882352941176,11.0
quercus_nigra,1.0,0.5,0.6666666666666666,4.0
quercus_palustris,1.0,1.0,1.0,1.0
quercus_phellos,0.0,0.0,0.0,1.0
quercus_robur,0.6,1.0,0.7499999999999999,3.0
quercus_rubra,0.0,0.0,0.0,3.0
quercus_shumardii,0.6666666666666666,1.0,0.8,4.0
quercus_stellata,1.0,0.4,0.5714285714285715,5.0
quercus_velutina,1.0,0.4,0.5714285714285715,5.0
quercus_virginiana,0.6666666666666666,0.8,0.7272727272727272,5.0
robinia_pseudo-acacia,1.0,0.5,0.6666666666666666,2.0
salix_babylonica,0.8333333333333334,1.0,0.9090909090909091,5.0
salix_caroliniana,0.8,1.0,0.888888888888889,4.0
salix_matsudana,1.0,0.6,0.7499999999999999,5.0
salix_nigra,1.0,1.0,1.0,8.0
sassafras_albidum,0.0,0.0,0.0,2.0
staphylea_trifolia,0.7142857142857143,1.0,0.8333333333333333,5.0
stewartia_pseudocamellia,0.6666666666666666,0.8,0.7272727272727272,5.0
styrax_japonica,0.5,0.36363636363636365,0.4210526315789474,11.0
styrax_obassia,0.5714285714285714,1.0,0.7272727272727273,4.0
syringa_reticulata,0.0,0.0,0.0,4.0
taxodium_distichum,0.75,1.0,0.8571428571428571,6.0
tilia_americana,0.0,0.0,0.0,1.0
tilia_cordata,1.0,0.625,0.7692307692307693,8.0
tilia_europaea,0.0,0.0,0.0,1.0
tilia_tomentosa,1.0,0.3333333333333333,0.5,3.0
toona_sinensis,1.0,1.0,1.0,2.0
tsuga_canadensis,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
ulmus_americana,0.0,0.0,0.0,1.0
ulmus_glabra,0.0,0.0,0.0,6.0
ulmus_parvifolia,1.0,1.0,1.0,5.0
ulmus_pumila,0.6,0.8,0.6857142857142857,15.0
ulmus_rubra,1.0,0.8,0.888888888888889,5.0
zelkova_serrata,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
accuracy,0.6437823834196891,0.6437823834196891,0.6437823834196891,0.6437823834196891
macro avg,0.630536094471586,0.6230416464751503,0.5951357726044764,772.0
weighted avg,0.6711222200929905,0.6437823834196891,0.6271113747922408,772.0
