,precision,recall,f1-score,support
pinus_peucea,0.8,1.0,0.888888888888889,12.0
pinus_pungens,0.8571428571428571,1.0,0.923076923076923,12.0
pinus_resinosa,1.0,0.8333333333333334,0.9090909090909091,12.0
pinus_rigida,0.9230769230769231,1.0,0.9600000000000001,12.0
pinus_strobus,1.0,1.0,1.0,12.0
pinus_sylvestris,1.0,1.0,1.0,12.0
pinus_taeda,1.0,0.9166666666666666,0.9565217391304348,12.0
pinus_thunbergii,1.0,0.8333333333333334,0.9090909090909091,12.0
pinus_virginiana,1.0,1.0,1.0,12.0
pinus_wallichiana,1.0,0.9166666666666666,0.9565217391304348,12.0
platanus_acerifolia,1.0,1.0,1.0,12.0
platanus_occidentalis,1.0,0.9411764705882353,0.9696969696969697,17.0
populus_deltoides,1.0,1.0,1.0,12.0
populus_grandidentata,1.0,1.0,1.0,12.0
populus_tremuloides,1.0,1.0,1.0,12.0
prunus_pensylvanica,1.0,1.0,1.0,12.0
prunus_sargentii,1.0,1.0,1.0,12.0
prunus_serotina,1.0,0.8461538461538461,0.9166666666666666,13.0
prunus_serrulata,1.0,0.9166666666666666,0.9565217391304348,12.0
prunus_subhirtella,0.8571428571428571,1.0,0.923076923076923,12.0
prunus_virginiana,1.0,1.0,1.0,12.0
prunus_yedoensis,1.0,1.0,1.0,12.0
pseudolarix_amabilis,1.0,1.0,1.0,12.0
ptelea_trifoliata,1.0,1.0,1.0,22.0
pyrus_calleryana,1.0,1.0,1.0,12.0
quercus_acutissima,1.0,1.0,1.0,12.0
quercus_alba,1.0,1.0,1.0,16.0
quercus_bicolor,1.0,1.0,1.0,12.0
quercus_cerris,1.0,1.0,1.0,12.0
quercus_coccinea,1.0,1.0,1.0,12.0
quercus_falcata,0.0,0.0,0.0,1.0
quercus_imbricaria,1.0,1.0,1.0,12.0
quercus_macrocarpa,1.0,1.0,1.0,12.0
quercus_marilandica,0.9230769230769231,1.0,0.9600000000000001,12.0
quercus_michauxii,1.0,1.0,1.0,12.0
quercus_montana,1.0,1.0,1.0,19.0
quercus_muehlenbergii,1.0,1.0,1.0,12.0
quercus_nigra,1.0,0.9166666666666666,0.9565217391304348,12.0
quercus_palustris,1.0,1.0,1.0,12.0
quercus_phellos,1.0,1.0,1.0,12.0
quercus_robur,1.0,1.0,1.0,11.0
quercus_rubra,1.0,1.0,1.0,4.0
quercus_shumardii,1.0,1.0,1.0,12.0
quercus_stellata,1.0,0.9166666666666666,0.9565217391304348,12.0
quercus_velutina,1.0,1.0,1.0,12.0
quercus_virginiana,0.9230769230769231,1.0,0.9600000000000001,12.0
robinia_pseudo-acacia,1.0,1.0,1.0,12.0
salix_babylonica,1.0,1.0,1.0,12.0
salix_caroliniana,0.9285714285714286,1.0,0.962962962962963,13.0
salix_matsudana,1.0,0.9166666666666666,0.9565217391304348,12.0
salix_nigra,1.0,1.0,1.0,12.0
sassafras_albidum,1.0,0.9090909090909091,0.9523809523809523,11.0
staphylea_trifolia,1.0,1.0,1.0,17.0
stewartia_pseudocamellia,0.9230769230769231,1.0,0.9600000000000001,12.0
styrax_japonica,1.0,1.0,1.0,12.0
styrax_obassia,1.0,1.0,1.0,4.0
syringa_reticulata,1.0,1.0,1.0,6.0
taxodium_distichum,1.0,1.0,1.0,12.0
tilia_americana,1.0,1.0,1.0,14.0
tilia_cordata,1.0,1.0,1.0,12.0
tilia_europaea,1.0,1.0,1.0,12.0
tilia_tomentosa,1.0,1.0,1.0,12.0
toona_sinensis,1.0,1.0,1.0,4.0
tsuga_canadensis,1.0,1.0,1.0,12.0
ulmus_americana,1.0,1.0,1.0,20.0
ulmus_glabra,1.0,1.0,1.0,10.0
ulmus_parvifolia,1.0,1.0,1.0,12.0
ulmus_procera,1.0,1.0,1.0,12.0
ulmus_pumila,1.0,1.0,1.0,12.0
ulmus_rubra,0.9642857142857143,1.0,0.9818181818181818,27.0
zelkova_serrata,1.0,1.0,1.0,12.0
accuracy,0.9861771058315335,0.9861771058315335,0.9861771058315335,0.9861771058315335
macro avg,0.9820982347069304,0.9810057712998889,0.9808121370828727,2315.0
weighted avg,0.987144225855842,0.9861771058315335,0.9859551995216888,2315.0
