,precision,recall,f1-score,support
pinus_densiflora,0.0,0.0,0.0,24.0
pinus_echinata,0.7916666666666666,0.7916666666666666,0.7916666666666666,24.0
pinus_flexilis,0.7857142857142857,0.44,0.5641025641025641,25.0
pinus_koraiensis,1.0,0.4782608695652174,0.6470588235294118,23.0
pinus_nigra,0.5454545454545454,0.5,0.5217391304347826,24.0
pinus_parviflora,1.0,0.125,0.2222222222222222,24.0
pinus_peucea,0.8333333333333334,0.2,0.3225806451612903,25.0
pinus_pungens,1.0,0.125,0.2222222222222222,24.0
pinus_resinosa,1.0,0.20833333333333334,0.3448275862068966,24.0
pinus_rigida,0.0,0.0,0.0,24.0
pinus_strobus,1.0,0.16666666666666666,0.2857142857142857,24.0
pinus_sylvestris,0.0,0.0,0.0,24.0
pinus_taeda,0.42857142857142855,1.0,0.6,24.0
pinus_thunbergii,1.0,0.16666666666666666,0.2857142857142857,24.0
pinus_virginiana,0.0,0.0,0.0,24.0
pinus_wallichiana,0.6764705882352942,0.9583333333333334,0.7931034482758621,24.0
platanus_acerifolia,0.8666666666666667,0.5416666666666666,0.6666666666666667,24.0
platanus_occidentalis,0.8461538461538461,0.9705882352941176,0.9041095890410958,34.0
populus_deltoides,0.9411764705882353,0.6666666666666666,0.7804878048780487,24.0
populus_grandidentata,0.8,0.8333333333333334,0.816326530612245,24.0
populus_tremuloides,0.8181818181818182,0.375,0.5142857142857142,24.0
prunus_pensylvanica,0.9411764705882353,0.6666666666666666,0.7804878048780487,24.0
prunus_sargentii,0.8461538461538461,0.4583333333333333,0.5945945945945945,24.0
prunus_serotina,1.0,0.38461538461538464,0.5555555555555556,26.0
prunus_serrulata,1.0,0.2916666666666667,0.45161290322580644,24.0
prunus_subhirtella,1.0,0.5,0.6666666666666666,24.0
prunus_virginiana,0.45098039215686275,0.9583333333333334,0.6133333333333333,24.0
prunus_yedoensis,0.0,0.0,0.0,24.0
pseudolarix_amabilis,0.0,0.0,0.0,23.0
ptelea_trifoliata,0.88,1.0,0.9361702127659575,44.0
pyrus_calleryana,1.0,0.7083333333333334,0.8292682926829268,24.0
quercus_acutissima,0.8095238095238095,0.7083333333333334,0.7555555555555556,24.0
quercus_alba,0.5625,0.28125,0.375,32.0
quercus_bicolor,1.0,0.64,0.7804878048780487,25.0
quercus_cerris,1.0,0.5833333333333334,0.7368421052631579,24.0
quercus_coccinea,0.7741935483870968,1.0,0.8727272727272727,24.0
quercus_falcata,1.0,1.0,1.0,1.0
quercus_imbricaria,0.9090909090909091,0.8695652173913043,0.888888888888889,23.0
quercus_macrocarpa,0.6857142857142857,1.0,0.8135593220338984,24.0
quercus_marilandica,1.0,0.375,0.5454545454545454,24.0
quercus_michauxii,1.0,0.4166666666666667,0.5882352941176471,24.0
quercus_montana,0.7058823529411765,0.9473684210526315,0.8089887640449439,38.0
quercus_muehlenbergii,0.8518518518518519,0.9583333333333334,0.9019607843137256,24.0
quercus_nigra,0.30357142857142855,0.7083333333333334,0.425,24.0
quercus_palustris,1.0,0.9583333333333334,0.9787234042553191,24.0
quercus_phellos,1.0,0.2916666666666667,0.45161290322580644,24.0
quercus_robur,1.0,0.21739130434782608,0.3571428571428571,23.0
quercus_rubra,1.0,0.375,0.5454545454545454,8.0
quercus_shumardii,1.0,0.5,0.6666666666666666,24.0
quercus_stellata,0.6451612903225806,0.8333333333333334,0.7272727272727272,24.0
quercus_velutina,0.8888888888888888,1.0,0.9411764705882353,24.0
quercus_virginiana,0.0,0.0,0.0,24.0
robinia_pseudo-acacia,0.88,0.88,0.88,25.0
salix_babylonica,0.9333333333333333,0.5833333333333334,0.7179487179487181,24.0
salix_caroliniana,1.0,0.34615384615384615,0.5142857142857142,26.0
salix_matsudana,0.7142857142857143,0.21739130434782608,0.3333333333333333,23.0
salix_nigra,0.8181818181818182,0.375,0.5142857142857142,24.0
sassafras_albidum,1.0,0.5,0.6666666666666666,22.0
staphylea_trifolia,1.0,0.5294117647058824,0.6923076923076924,34.0
stewartia_pseudocamellia,0.0,0.0,0.0,24.0
styrax_japonica,1.0,0.041666666666666664,0.07999999999999999,24.0
styrax_obassia,1.0,0.125,0.2222222222222222,8.0
syringa_reticulata,1.0,1.0,1.0,12.0
taxodium_distichum,0.8846153846153846,1.0,0.9387755102040816,23.0
tilia_americana,0.8709677419354839,0.9310344827586207,0.9,29.0
tilia_cordata,0.9411764705882353,0.6666666666666666,0.7804878048780487,24.0
tilia_europaea,1.0,0.25,0.4,24.0
tilia_tomentosa,0.75,0.5,0.6,24.0
toona_sinensis,0.8,1.0,0.888888888888889,8.0
tsuga_canadensis,0.0,0.0,0.0,24.0
ulmus_americana,0.8387096774193549,0.65,0.7323943661971831,40.0
ulmus_glabra,1.0,0.5238095238095238,0.6875000000000001,21.0
ulmus_parvifolia,1.0,0.125,0.2222222222222222,24.0
ulmus_procera,1.0,0.3333333333333333,0.5,24.0
ulmus_pumila,0.8666666666666667,0.5416666666666666,0.6666666666666667,24.0
ulmus_rubra,0.8064516129032258,0.46296296296296297,0.5882352941176471,54.0
zelkova_serrata,1.0,0.20833333333333334,0.3448275862068966,24.0
accuracy,0.5894168466522678,0.5894168466522678,0.5894168466522678,0.5894168466522678
macro avg,0.7558174260587179,0.5717652689130168,0.5781041149133584,4630.0
weighted avg,0.7603109178395566,0.5894168466522678,0.5916801474542719,4630.0
