,precision,recall,f1-score,support
pinus_parviflora,0.9,0.9,0.9,10.0
pinus_peucea,0.875,1.0,0.9333333333333333,7.0
pinus_pungens,1.0,1.0,1.0,8.0
pinus_resinosa,1.0,1.0,1.0,10.0
pinus_rigida,0.875,0.7777777777777778,0.823529411764706,9.0
pinus_strobus,1.0,1.0,1.0,4.0
pinus_sylvestris,1.0,1.0,1.0,7.0
pinus_taeda,1.0,1.0,1.0,9.0
pinus_thunbergii,1.0,1.0,1.0,2.0
pinus_virginiana,0.0,0.0,0.0,9.0
pinus_wallichiana,1.0,1.0,1.0,8.0
platanus_acerifolia,1.0,1.0,1.0,4.0
platanus_occidentalis,1.0,1.0,1.0,4.0
populus_deltoides,1.0,1.0,1.0,9.0
populus_grandidentata,1.0,1.0,1.0,8.0
populus_tremuloides,1.0,0.875,0.9333333333333333,8.0
prunus_pensylvanica,1.0,0.8333333333333334,0.9090909090909091,6.0
prunus_sargentii,0.625,0.7352941176470589,0.6756756756756757,34.0
prunus_serotina,0.8,1.0,0.888888888888889,4.0
prunus_serrulata,1.0,1.0,1.0,3.0
prunus_subhirtella,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
prunus_virginiana,0.6595744680851063,0.8378378378378378,0.7380952380952381,37.0
prunus_yedoensis,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
pseudolarix_amabilis,0.875,1.0,0.9333333333333333,7.0
ptelea_trifoliata,1.0,1.0,1.0,10.0
pyrus_calleryana,0.9090909090909091,1.0,0.9523809523809523,10.0
quercus_acutissima,1.0,1.0,1.0,10.0
quercus_alba,1.0,1.0,1.0,3.0
quercus_bicolor,1.0,0.75,0.8571428571428571,4.0
quercus_cerris,1.0,0.6666666666666666,0.8,3.0
quercus_coccinea,1.0,1.0,1.0,4.0
quercus_falcata,1.0,1.0,1.0,11.0
quercus_imbricaria,1.0,1.0,1.0,5.0
quercus_macrocarpa,0.9,1.0,0.9473684210526316,9.0
quercus_marilandica,1.0,1.0,1.0,11.0
quercus_michauxii,1.0,1.0,1.0,10.0
quercus_montana,1.0,1.0,1.0,12.0
quercus_muehlenbergii,0.4,0.2857142857142857,0.3333333333333333,21.0
quercus_nigra,1.0,0.8888888888888888,0.9411764705882353,9.0
quercus_palustris,1.0,1.0,1.0,3.0
quercus_phellos,1.0,1.0,1.0,3.0
quercus_robur,1.0,0.8,0.888888888888889,5.0
quercus_rubra,1.0,1.0,1.0,6.0
quercus_shumardii,1.0,1.0,1.0,8.0
quercus_stellata,1.0,1.0,1.0,10.0
quercus_velutina,1.0,1.0,1.0,10.0
quercus_virginiana,1.0,1.0,1.0,9.0
robinia_pseudo-acacia,1.0,0.5,0.6666666666666666,4.0
salix_babylonica,0.9090909090909091,1.0,0.9523809523809523,10.0
salix_caroliniana,1.0,1.0,1.0,8.0
salix_matsudana,0.9,0.9,0.9,10.0
salix_nigra,1.0,0.9333333333333333,0.9655172413793104,15.0
sassafras_albidum,1.0,1.0,1.0,4.0
staphylea_trifolia,1.0,1.0,1.0,9.0
stewartia_pseudocamellia,0.8181818181818182,1.0,0.9,9.0
styrax_japonica,1.0,1.0,1.0,22.0
styrax_obassia,1.0,0.875,0.9333333333333333,8.0
syringa_reticulata,0.8,0.5,0.6153846153846154,8.0
taxodium_distichum,1.0,1.0,1.0,12.0
tilia_americana,1.0,1.0,1.0,3.0
tilia_cordata,1.0,1.0,1.0,15.0
tilia_europaea,0.5,0.3333333333333333,0.4,3.0
tilia_tomentosa,0.7142857142857143,1.0,0.8333333333333333,5.0
toona_sinensis,1.0,1.0,1.0,5.0
tsuga_canadensis,1.0,1.0,1.0,14.0
ulmus_americana,1.0,1.0,1.0,3.0
ulmus_glabra,0.8461538461538461,1.0,0.9166666666666666,11.0
ulmus_parvifolia,1.0,1.0,1.0,9.0
ulmus_pumila,1.0,1.0,1.0,29.0
ulmus_rubra,1.0,0.9,0.9473684210526316,10.0
zelkova_serrata,0.9285714285714286,1.0,0.962962962962963,13.0
accuracy,0.9332901554404145,0.9332901554404145,0.9332901554404145,0.9332901554404145
macro avg,0.9460411532205589,0.9338299959623491,0.9361923125779642,1544.0
weighted avg,0.9327216320431306,0.9332901554404145,0.9303613746671362,1544.0
